,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Adhere to female chastity,38.9,81.7,45.2,28.2,20.1,45.3,58,36.4,55.4,32.8,20.8,30.6,42.8,33.5,24.5,47,42.6,35,37.6,31,45.8,29.9,32.1,37.3,26.7,61.1,60.8,32.2,28.3,32.2,45,30,29.5,37.8,24,21.9,26.7,45.9,29.2,13.6
Adhere to principle,48.47619048,64.23529412,35.71428571,62.9047619,55,72,48.47619048,70.38888889,46.23809524,60.38095238,37,66.28571429,41.5,70.57142857,28.66666667,56.38095238,82.11111111,43.66666667,51.66666667,54.52380952,69.22222222,57.44444444,75,59.33333333,54.05555556,42.61904762,78.38095238,57.57142857,31.76190476,47.66666667,44.80952381,24.95238095,47.9047619,49.80952381,64.33333333,34.57142857,78.85714286,73.71428571,74.61904762,42.0952381
Adopt orphans,87.64705882,45.58823529,81.11764706,53.76470588,36.14285714,30.21428571,76.05882353,57.21428571,80.47058824,53.52941176,39.58823529,74.17647059,68.92857143,51.64705882,81.70588235,77.35294118,48.57142857,69.94117647,53.52941176,73.05882353,48,30.64285714,34.21428571,60.94117647,37,85.52941176,63.41176471,70.64705882,72.35294118,75.94117647,70.29411765,50.41176471,49.35294118,56.05882353,45.11764706,48.82352941,41.94117647,61.17647059,50.35294118,50.17647059
Advocate for equal right,74.4,72.64705882,59.06666667,69,55.61111111,73.88888889,75.26666667,85.05555556,63.8,69.53333333,49.86666667,85,63.38888889,66.86666667,56.86666667,76.6,71.05555556,67.06666667,75.13333333,65.53333333,57.55555556,48.55555556,49,74.66666667,42.77777778,71.93333333,83.46666667,73,64.06666667,62.2,68.26666667,71.13333333,54.93333333,72.4,58.73333333,52.66666667,67.13333333,81.26666667,72.8,55.53333333
Aid disaster areas,78.06666667,70.76470588,79.06666667,54.93333333,54.0625,47.375,81.26666667,57.25,82.53333333,50.53333333,40.06666667,71.8,67.1875,60.66666667,83.4,77.66666667,56.6875,73.2,60.26666667,71.46666667,50.0625,41.1875,37.8125,77.4,34.3125,82.2,73.86666667,68.93333333,72.8,78.26666667,75,42,55,44.53333333,43.2,56.4,48.4,59.73333333,50.6,62.06666667
Appreciate fine art and music,20.42857143,48.52941176,26.35714286,44.92857143,14.84615385,14.23076923,32.42857143,18.53846154,23.5,29.14285714,17.28571429,27.14285714,19.23076923,30.28571429,36.28571429,27.5,23.30769231,61.14285714,29.21428571,32.78571429,24.30769231,29.84615385,19.69230769,25.21428571,18,27.14285714,32.78571429,27.85714286,29.07142857,23.57142857,27.14285714,32.78571429,19.07142857,64.14285714,17.21428571,32.14285714,31.71428571,34.14285714,35.35714286,20.92857143
Serve as an honest official,52.93333333,60.35294118,33.2,69.8,50.92307692,93.61538462,46.26666667,67.30769231,55.73333333,68.46666667,37.2,82.2,66.23076923,76.6,32.06666667,74.4,89.53846154,48.6,46.6,61.4,63.53846154,44.92307692,82.69230769,77.2,77.07692308,39.8,87,83.86666667,33.53333333,41,53.66666667,38.73333333,49.2,49.93333333,73.93333333,29.06666667,71.13333333,74.86666667,83.8,41.93333333
Attend to small needs,63.26666667,65.94117647,68.33333333,54.53333333,26.66666667,43.58333333,73.4,30,59.2,50.86666667,36.53333333,39.66666667,58.16666667,40.73333333,49.8,55.4,33,46.6,45,68.2,26.66666667,32.41666667,36.25,43.6,33.83333333,72.73333333,49.73333333,51.53333333,45.26666667,57.33333333,65.06666667,46.66666667,46.6,48.26666667,41.26666667,33.93333333,44.26666667,55.06666667,39.6,44.53333333
Dedicate oneself to one's job,59.4,66.17647059,55.53333333,76.06666667,46.92857143,76.78571429,73.53333333,59.42857143,62.33333333,71.6,45.93333333,69.46666667,70,77,46.8,74,68.85714286,76,77.13333333,70.6,57.07142857,71.28571429,63.92857143,72,54.57142857,64.86666667,80.66666667,67.26666667,46.53333333,53.06666667,61.46666667,56.93333333,76.6,69.6,63.66666667,58.6,75.66666667,73.13333333,68.73333333,43.46666667
Evaluate facts without bias,48.4375,61.70588235,40.75,48.375,49.53846154,64.07692308,49.3125,54.38461538,40.5,74.375,35.3125,56.0625,39.15384615,50.75,43.5,54.5,73.15384615,44.25,51.0625,42.75,42.84615385,57.38461538,67.61538462,51.8125,54.61538462,44.8125,73.1875,55.0625,41.4375,41.75,46.0625,38.25,48,48.4375,57.75,34.5,61.5,57.875,53.1875,39.125
